method,path,controller,handler,guards,skip_csrf,require_json,step_up,source,source_sha256
GET,/api/products,ProductsController,getActiveProducts,SessionOptionalGuard,false,false,false,apps/api/src/orders/products.controller.ts,987ddff595cc3cc3149a635e41466548527b409e6c0fa2ee1f88d6af756d3d5b
GET,/api/profiles,ProfilesController,listProfiles,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
GET,/api/profiles/:id,ProfilesController,getProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
PUT,/api/profiles/:id,ProfilesController,updateProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
POST,/api/profiles/:id/set-default,ProfilesController,setDefaultProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
POST,/api/profiles/:id/verify,ProfilesController,verifyProfile,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
GET,/api/profiles/:profileId/addresses,ProfilesController,listAddresses,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
POST,/api/profiles/:profileId/addresses,ProfilesController,createAddress,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
DELETE,/api/profiles/:profileId/addresses/:addressId,ProfilesController,deleteAddress,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
PUT,/api/profiles/:profileId/addresses/:addressId,ProfilesController,updateAddress,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
POST,/api/profiles/:profileId/addresses/:addressId/set-main,ProfilesController,setMainAddress,SessionAuthGuard,false,false,false,apps/api/src/profiles/profiles.controller.ts,5229d1572ac3787c3484d6dca47a071e37d9fb197add2f31b3295aae9eb21878
GET,/api/profiles/:profileId/agents,AgentsController,listAgents,SessionAuthGuard,false,false,false,apps/api/src/profiles/agents.controller.ts,7142644b09cbcce73d89b7d2336832b9bc4943c7648cbcabfb123436692d6195
DELETE,/api/profiles/:profileId/agents/:userId,AgentsController,removeAgent,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/profiles/agents.controller.ts,7142644b09cbcce73d89b7d2336832b9bc4943c7648cbcabfb123436692d6195
PUT,/api/profiles/:profileId/agents/:userId/roles,AgentsController,setAgentRoles,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/profiles/agents.controller.ts,7142644b09cbcce73d89b7d2336832b9bc4943c7648cbcabfb123436692d6195
POST,/api/profiles/:profileId/invitations,AgentsController,createInvitation,SessionAuthGuard,false,false,false,apps/api/src/profiles/agents.controller.ts,7142644b09cbcce73d89b7d2336832b9bc4943c7648cbcabfb123436692d6195
DELETE,/api/profiles/:profileId/invitations/:inviteId,AgentsController,withdrawInvitation,SessionAuthGuard,false,false,false,apps/api/src/profiles/agents.controller.ts,7142644b09cbcce73d89b7d2336832b9bc4943c7648cbcabfb123436692d6195
