method,path,controller,handler,guards,skip_csrf,require_json,step_up,source,source_sha256
DELETE,/api/admin/tos/versions/:id,AdminController,deleteTosVersion,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/tos/versions/:id,AdminController,getTosVersion,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/tos/versions/:id,AdminController,updateTosVersion,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
POST,/api/admin/tos/versions/:id/publish,AdminController,publishTosVersion,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/upload-policies,UploadPolicyController,list,SessionAuthGuard,false,false,false,apps/api/src/admin/upload-policy.controller.ts,998901b454568869ea063eed0aae52874265cb91a0a46620cf5ac28ad15aebbb
POST,/api/admin/upload-policies,UploadPolicyController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/upload-policy.controller.ts,998901b454568869ea063eed0aae52874265cb91a0a46620cf5ac28ad15aebbb
POST,/api/admin/upload-policies/:id/end,UploadPolicyController,end,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/upload-policy.controller.ts,998901b454568869ea063eed0aae52874265cb91a0a46620cf5ac28ad15aebbb
GET,/api/admin/upload-policies/access,UploadPolicyController,access,SessionAuthGuard,false,false,false,apps/api/src/admin/upload-policy.controller.ts,998901b454568869ea063eed0aae52874265cb91a0a46620cf5ac28ad15aebbb
GET,/api/admin/upload-policies/limits,UploadPolicyController,limits,SessionAuthGuard,false,false,false,apps/api/src/admin/upload-policy.controller.ts,998901b454568869ea063eed0aae52874265cb91a0a46620cf5ac28ad15aebbb
GET,/api/admin/users/:userId/effective-permissions,AdminController,getEffectivePermissions,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
POST,/api/admin/users/:userId/resend-activation,AdminController,resendStaffActivation,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/users/:userId/roles,AdminController,updateStaffRoles,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
POST,/api/admin/users/create-staff,AdminController,createStaffUser,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/verification/providers,VerificationProviderController,listProviders,SessionAuthGuard,false,false,false,apps/api/src/verification/verification-provider.controller.ts,4c5c8805e9f501da37f5e0785110b921574df68a5c10e683f7f705b68ef0a3e7
GET,/api/admin/verification/providers/:providerId/config,VerificationProviderController,getProviderConfig,SessionAuthGuard,false,false,false,apps/api/src/verification/verification-provider.controller.ts,4c5c8805e9f501da37f5e0785110b921574df68a5c10e683f7f705b68ef0a3e7
